名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
回眸,"房鈺玲, 蔡沂庭 & 張懷庭",許冠寧 & 陳沛晴、許冠寧、張雅雯,路 (2018畢業歌合輯),,,,,,Mandopop,11170912,319,1,1,2,32,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/21 02:07,,,,
"很久以後 (電影《可不可以,你也剛好喜歡我》主題曲)",鄧紫棋,G.E.M.,摩天動物園,,,,,,Mandopop,10011885,290,1,1,4,13,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
別勉強 (feat. 周兴哲),鄧紫棋,G.E.M.,摩天動物園,,,,,,Mandopop,9158620,262,1,1,10,13,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
在我們的星球眼淚不超過三秒,鄧福如 AFÜ,"AFÜ, 崔第 & Wu-Chang",在我們的星球眼淚不超過三秒 - Single,,,,,,Mandopop,7275806,209,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
Mojito,周杰倫,,Mojito - Single,,,,,,Mandopop,6747879,185,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/24 01:46,,,,
一千零一個願望 (單人版),楊丞琳,Tom Pan,一千零一個願望 (單人版) - Single,,,,,,Mandopop,10379735,299,1,1,1,1,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
直到我遇見了你,李友廷,,直到我遇見了你 - Single,,,,,,Mandopop,8522727,246,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
No Turning Back,JJ Lin,JJ Lin,No Turning Back - Single,,,,,,Mandopop,9854124,276,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 00:37,,,,
可惜沒如果,林俊傑,JJ Lin,上一首情歌 (國語精選),,,,,,Mandopop,10703798,298,1,1,3,30,2014,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/12/13 12:17,,,,
The Story of Us,JJ Lin,JJ Lin,The Story of Us - Single,,,,,,Mandopop,11903728,336,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/24 01:43,,,,
逆光,陳芳語,Peter Lee,逆光 - Single,,,,,,Pop,6880363,195,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/21 19:07,,,,
太空人,吳青峰,Qing Feng Wu,太空人,,,,,,Mandopop,11000468,318,1,1,4,12,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/23 21:47,,,,
好想愛這個世界啊,華晨宇,Hua Chenyu,新世界,,,,,,Mandopop,9391822,258,1,1,2,8,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/23 21:16,,,,
Drifter,JJ Lin,JJ Lin,Drifter - EP,,,,,,Mandopop,9970772,281,1,1,3,6,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 02:52,,,,
